,Year_Month,count_tata2,count_tata1,Total_count
0,2022-12,18.0,6,24.0
1,2023-01,99.0,21,120.0
2,2023-02,27.0,10,37.0
3,2023-03,6.0,2,8.0
4,2023-04,13.0,6,19.0
5,2023-05,27.0,19,46.0
6,2023-06,12.0,16,28.0
7,2023-07,12.0,15,27.0
8,2023-08,15.0,26,41.0
9,2023-09,14.0,12,26.0
10,2023-10,3.0,16,19.0
11,2023-11,5.0,11,16.0
12,2023-12,43.0,20,63.0
13,2024-01,4.0,24,28.0
14,2024-02,1.0,16,17.0
15,2024-03,1.0,10,11.0
16,2024-04,14.0,18,32.0
17,2024-05,6.0,20,26.0
18,2024-06,5.0,36,41.0
19,2024-07,27.0,49,76.0
20,2024-08,19.0,29,48.0
21,2024-09,59.0,43,102.0
22,2024-10,37.0,42,79.0
23,2024-11,39.0,43,82.0
24,2024-12,15.0,28,43.0
25,2025-01,45.0,64,109.0
26,2025-02,72.0,27,99.0
27,2025-03,36.0,21,57.0
28,2025-04,78.0,23,101.0
29,2025-05,15.0,23,38.0
30,2022-04,0.0,4,4.0
31,2022-05,0.0,6,6.0
32,2022-06,0.0,4,4.0
33,2022-07,0.0,5,5.0
34,2022-08,0.0,3,3.0
35,2022-09,0.0,2,2.0
36,2022-10,0.0,7,7.0
37,2022-11,0.0,12,12.0
